sample_names,mean,median,sd,quantile0.025,quantile0.975
1909071909,1,1,0,1,1
1805048513,1,1,0.0447,1,1
1712100637,1,1,0,1,1
1710060386,1,1,0,1,1
2105017451,1,1,0,1,1
1606068595,1,1,0,1,1
1709094459,1,1,0.4068,1,2
1604073150,1,1,0,1,1
2107073388,1,1,0,1,1
2206051571,1,1,0,1,1
1610045498,1,1,0,1,1
1609072103,1,1,0,1,1
1912039091,1,1,0,1,1
1701045102,1,1,0,1,1
1607055615,1,1,0,1,1
1809062422,1,1,0,1,1
1708007921,1,1,0,1,1
1608029984,1,1,0,1,1
1905026863,1,1,0,1,1
1605096775,1,1,0,1,1
1609079318,1,1,0,1,1
2206038340,1,1,0,1,1
1607040698,1,1,0,1,1
1909063945,1,1,0,1,1
1708041090,1,1,0,1,1
2103014721,1,1,0,1,1
2206090059,1,1,0,1,1
1809049206,1,1,0,1,1
2002006396,1,1,0,1,1
1812006755,1,1,0.16789,1,2
2010067770,1,1,0,1,1
1701027502,1,1,0,1,1
2107056299,1,1,0,1,1
1709061518,1,1,0,1,1
1701088826,1,1,0,1,1
2201056461,1,1,0,1,1
1910003018,1,1,0.0447,1,1
2107073536,1,1,0,1,1
1706002731,1,1,0,1,1
1701039583,1,1,0,1,1
2208051795,1,1,0,1,1
1706075018,1,1,0.0447,1,1
1810030162,1,1,0,1,1
1610022218,1,1,0,1,1
2206007921,1,1,0,1,1
1609083617,1,1,0,1,1
1610067780,1,1,0,1,1
1810116331,1,1,0,1,1
1709085190,1,1,0,1,1
1804063090,1,1,0,1,1
1612038203,1,1,0,1,1
1809031466,1,1,0.39717,1,2
1804062790,1,1,0.46786,1,2
1608026764,1,1,0,1,1
1709023257,1,1,0,1,1
1912021345,1,1,0,1,1
1610086374,1,1,0,1,1
1810033723,1,1,0.49244,1,2
1601035429,1,1,0,1,1
2202087689,1,1,0,1,1
1609063636,1,1,0,1,1
1706064099,1,1,0,1,1
1808006095,1,1,0,1,1
2206113427,1,1,0,1,1
2206112960,1,1,0,1,1
1811030354,1,1,0,1,1
1708075659,1,1,0.03162,1,1
1901086712,1,1,0,1,1
1702092276,1,1,0,1,1
2104112519,1,1,0,1,1
2008032207,1,1,0,1,1
1809095152,1,1,0.03162,1,1
1708058962,1,1,0,1,1
1712100722,1,1,0,1,1
1606034366,1,1,0,1,1
1609034247,1,1,0,1,1
1909099599,1,1,0,1,1
2207016695,1,1,0,1,1
1810017286,1,1,0,1,1
1605029124,1,1,0,1,1
1701030870,1,1,0,1,1
1810057179,1,1,0,1,1
1911100583,1,1,0,1,1
1712068360,1,1,0,1,1
1801010124,1,1,0.09955,1,1
1604045818,1,1,0,1,1
2209078458,1,1,0,1,1
2204050737,1,1,0,1,1
1910038995,1,1,0,1,1
1910015533,1,1,0,1,1
1601011157,1,1,0,1,1
2106045168,1,1,0,1,1
1801043853,1,1,0,1,1
1710013149,1,1,0,1,1
1902032720,1,1,0.20069,1,2
1709090777,1,1,0,1,1
1801097369,1,1,0,1,1
2201122451,1,1,0,1,1
2001075778,1,1,0,1,1
1912022968,1,1,0.07057,1,1
2212030529,1,1,0,1,1
1909054373,1,1,0,1,1
1710005018,1,1,0,1,1
2009110354,1,1,0,1,1
1704006501,1,1,0,1,1
2002105285,1,1,0,1,1
1709034127,1,1,0,1,1
1801061671,1,1,0,1,1
2012013972,1,1,0,1,1
1708058650,1,1,0,1,1
1701007461,1,1,0,1,1
2012115371,1,1,0,1,1
2207069525,1,1,0,1,1
1703042202,1,1,0,1,1
1611022498,1,1,0,1,1
1810063458,1,1,0,1,1
1610064897,1,1,0.40169,1,2
1912088758,1,1,0,1,1
1904018371,1,1,0,1,1
1710032460,1,1,0,1,1
2107017451,1,1,0,1,1
2208055638,1,1,0,1,1
1807099416,1,1,0,1,1
1612072833,1,1,0.43885,1,2
2103020713,1,1,0,1,1
2210025586,1,1,0,1,1
1711029036,1,1,0,1,1
1909086842,1,1,0,1,1
2010123838,1,1,0,1,1
1909033198,1,1,0,1,1
1609015358,1,1,0,1,1
2009096512,1,1,0,1,1
1709034844,1,1,0,1,1
1612038171,1,1,0,1,1
1902032732,1,1,0,1,1
2004049527,1,1,0.0447,1,1
1801037305,1,1,0,1,1
2003024444,1,1,0,1,1
2107056278,1,1,0,1,1
1609012204,1,1,0,1,1
1706059706,1,1,0,1,1
1710098942,1,1,0.05472,1,1
2105016115,1,1,0,1,1
2011024126,1,1,0,1,1
1708044083,1,1,0,1,1
1911046139,1,1,0,1,1
1607055644,1,1,0,1,1
1908087378,1,1,0,1,1
1610022229,1,1,0,1,1
2101112387,1,1,0,1,1
1709038690,1,1,0,1,1
1907109001,1,1,0,1,1
1611042808,1,1,0,1,1
